year,category,laureate_type,full_name,birth_year,birth_city,birth_country,gender,prize,motivation
1904,Literature,Individual,JosÃ© Echegaray y Eizaguirre,1832,Madrid,Spain,Male,The Nobel Prize in Literature 1904,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama"""
1904,Medicine,Individual,Ivan Petrovich Pavlov,1849,Ryazan,Russia,Male,The Nobel Prize in Physiology or Medicine 1904,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged"""
1904,Peace,Organization,Institut de droit international (Institute of International Law),NA,NA,NA,NA,The Nobel Peace Prize 1904,NA
1904,Physics,Individual,Lord Rayleigh (John William Strutt),1842,"Langford Grove, Maldon, Essex",United Kingdom,Male,The Nobel Prize in Physics 1904,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies"""
1905,Chemistry,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835,Berlin,Prussia (Germany),Male,The Nobel Prize in Chemistry 1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"""
1905,Literature,Individual,Henryk Sienkiewicz,1846,Wola Okrzejska,Poland,Male,The Nobel Prize in Literature 1905,"""because of his outstanding merits as an epic writer"""
1905,Medicine,Individual,Robert Koch,1843,Clausthal (Clausthal-Zellerfeld),Germany,Male,The Nobel Prize in Physiology or Medicine 1905,"""for his investigations and discoveries in relation to tuberculosis"""
1905,Peace,Individual,"Baroness Bertha Sophie Felicita von Suttner, nÃ©e Countess Kinsky von Chinic und Tettau",1843,Prague,Austrian Empire (Czech Republic),Female,The Nobel Peace Prize 1905,NA
1905,Physics,Individual,Philipp Eduard Anton von Lenard,1862,Pressburg (Bratislava),Hungary (Slovakia),Male,The Nobel Prize in Physics 1905,"""for his work on cathode rays"""
1906,Chemistry,Individual,Henri Moissan,1852,Paris,France,Male,The Nobel Prize in Chemistry 1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him"""
1906,Literature,Individual,GiosuÃ¨ Carducci,1835,Val di Castello,Tuscany (Italy),Male,The Nobel Prize in Literature 1906,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"""
1906,Medicine,Individual,Camillo Golgi,1843,Corteno,Italy,Male,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system"""
1906,Medicine,Individual,Santiago RamÃ³n y Cajal,1852,Petilla de AragÃ³,Spain,Male,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system"""
1906,Peace,Individual,Theodore Roosevelt,1858,"New York, NY",United States of America,Male,The Nobel Peace Prize 1906,NA
1906,Physics,Individual,Joseph John Thomson,1856,"Cheetham Hill, near Manchester",United Kingdom,Male,The Nobel Prize in Physics 1906,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases"""
1907,Chemistry,Individual,Eduard Buchner,1860,Munich,Bavaria (Germany),Male,The Nobel Prize in Chemistry 1907,"""for his biochemical researches and his discovery of cell-free fermentation"""
1907,Literature,Individual,Rudyard Kipling,1865,Bombay,British India (India),Male,The Nobel Prize in Literature 1907,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"""
1907,Medicine,Individual,Charles Louis Alphonse Laveran,1845,Paris,France,Male,The Nobel Prize in Physiology or Medicine 1907,"""in recognition of his work on the role played by protozoa in causing diseases"""
1907,Peace,Individual,Ernesto Teodoro Moneta,1833,Milan,Austrian Empire (Italy),Male,The Nobel Peace Prize 1907,NA
1907,Peace,Individual,Louis Renault,1843,Autun,France,Male,The Nobel Peace Prize 1907,NA
1907,Physics,Individual,Albert Abraham Michelson,1852,Strelno (Strzelno),Prussia (Poland),Male,The Nobel Prize in Physics 1907,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"""
1908,Chemistry,Individual,Ernest Rutherford,1871,Nelson,New Zealand,Male,The Nobel Prize in Chemistry 1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"""
1908,Literature,Individual,Rudolf Christoph Eucken,1846,Aurich,East Friesland (Germany),Male,The Nobel Prize in Literature 1908,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"""
1908,Medicine,Individual,Ilya Ilyich Mechnikov,1845,Kharkov (Kharkiv),Russian Empire (Ukraine),Male,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity"""
1908,Medicine,Individual,Paul Ehrlich,1854,Strehlen (Strzelin),Prussia (Poland),Male,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity"""
1908,Peace,Individual,Klas Pontus Arnoldson,1844,Gothenburg,Sweden,Male,The Nobel Peace Prize 1908,NA
1908,Peace,Individual,Fredrik Bajer,1837,NÃ¦stved,Denmark,Male,The Nobel Peace Prize 1908,NA
1908,Physics,Individual,Gabriel Lippmann,1845,Hollerich,Luxembourg,Male,The Nobel Prize in Physics 1908,"""for his method of reproducing colours photographically based on the phenomenon of interference"""
1909,Chemistry,Individual,Wilhelm Ostwald,1853,Riga,Russian Empire (Latvia),Male,The Nobel Prize in Chemistry 1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction"""
1909,Literature,Individual,Selma Ottilia Lovisa LagerlÃ¶f,1858,MÃ¥rbacka,Sweden,Female,The Nobel Prize in Literature 1909,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"""
1909,Medicine,Individual,Emil Theodor Kocher,1841,Berne,Switzerland,Male,The Nobel Prize in Physiology or Medicine 1909,"""for his work on the physiology, pathology and surgery of the thyroid gland"""
1909,Peace,Individual,Auguste Marie FranÃ§ois Beernaert,1829,Ostend,Belgium,Male,The Nobel Peace Prize 1909,NA
1909,Peace,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852,La FlÃ¨che,France,Male,The Nobel Peace Prize 1909,NA
1909,Physics,Individual,Guglielmo Marconi,1874,Bologna,Italy,Male,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy"""
1909,Physics,Individual,Karl Ferdinand Braun,1850,Fulda,Hesse-Kassel (Germany),Male,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy"""
1910,Chemistry,Individual,Otto Wallach,1847,Koenigsberg (Kaliningrad),Germany (Russia),Male,The Nobel Prize in Chemistry 1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds"""
1910,Literature,Individual,Paul Johann Ludwig Heyse,1830,Berlin,Prussia (Germany),Male,The Nobel Prize in Literature 1910,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories"""
1910,Medicine,Individual,Albrecht Kossel,1853,Rostock,Mecklenburg (Germany),Male,The Nobel Prize in Physiology or Medicine 1910,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances"""
1910,Peace,Organization,Bureau international permanent de la Paix (Permanent International Peace Bureau),NA,NA,NA,NA,The Nobel Peace Prize 1910,NA
1910,Physics,Individual,Johannes Diderik van der Waals,1837,Leiden,Netherlands,Male,The Nobel Prize in Physics 1910,"""for his work on the equation of state for gases and liquids"""
1911,Chemistry,Individual,"Marie Curie, nÃ©e Sklodowska",1867,Warsaw,Russian Empire (Poland),Female,The Nobel Prize in Chemistry 1911,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"""
1911,Literature,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862,Ghent,Belgium,Male,The Nobel Prize in Literature 1911,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations"""
1911,Medicine,Individual,Allvar Gullstrand,1862,Landskrona,Sweden,Male,The Nobel Prize in Physiology or Medicine 1911,"""for his work on the dioptrics of the eye"""
1911,Peace,Individual,Tobias Michael Carel Asser,1838,Amsterdam,Netherlands,Male,The Nobel Peace Prize 1911,NA
1911,Peace,Individual,Alfred Hermann Fried,1864,Vienna,Austria,Male,The Nobel Peace Prize 1911,NA
1911,Physics,Individual,Wilhelm Wien,1864,Gaffken (Parusnoye),Prussia (Russia),Male,The Nobel Prize in Physics 1911,"""for his discoveries regarding the laws governing the radiation of heat"""
1912,Chemistry,Individual,Victor Grignard,1871,Cherbourg,France,Male,The Nobel Prize in Chemistry 1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry"""
1912,Chemistry,Individual,Paul Sabatier,1854,Carcassonne,France,Male,The Nobel Prize in Chemistry 1912,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"""
1912,Literature,Individual,Gerhart Johann Robert Hauptmann,1862,Bad Salzbrunn,Prussia (Germany),Male,The Nobel Prize in Literature 1912,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art"""
1912,Medicine,Individual,Alexis Carrel,1873,Sainte-Foy-lÃ¨s-Lyon,France,Male,The Nobel Prize in Physiology or Medicine 1912,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs"""
1912,Peace,Individual,Elihu Root,1845,"Clinton, NY",United States of America,Male,The Nobel Peace Prize 1912,NA
1912,Physics,Individual,Nils Gustaf DalÃ©n,1869,Stenstorp,Sweden,Male,The Nobel Prize in Physics 1912,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys"""
1913,Chemistry,Individual,Alfred Werner,1866,Mulhouse,France,Male,The Nobel Prize in Chemistry 1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry"""
1913,Literature,Individual,Rabindranath Tagore,1861,Calcutta,India,Male,The Nobel Prize in Literature 1913,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West"""
1913,Medicine,Individual,Charles Robert Richet,1850,Paris,France,Male,The Nobel Prize in Physiology or Medicine 1913,"""in recognition of his work on anaphylaxis"""
1913,Peace,Individual,Henri La Fontaine,1854,Brussels,Belgium,Male,The Nobel Peace Prize 1913,NA
1913,Physics,Individual,Heike Kamerlingh Onnes,1853,Groningen,Netherlands,Male,The Nobel Prize in Physics 1913,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"""
1914,Chemistry,Individual,Theodore William Richards,1868,"Germantown, PA",United States of America,Male,The Nobel Prize in Chemistry 1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements"""
1914,Medicine,Individual,Robert BÃ¡rÃ¡ny,1876,Vienna,Austria,Male,The Nobel Prize in Physiology or Medicine 1914,"""for his work on the physiology and pathology of the vestibular apparatus"""
1914,Physics,Individual,Max von Laue,1879,Pfaffendorf,Germany,Male,The Nobel Prize in Physics 1914,"""for his discovery of the diffraction of X-rays by crystals"""
1915,Chemistry,Individual,Richard Martin WillstÃ¤tter,1872,Karlsruhe,Germany,Male,The Nobel Prize in Chemistry 1915,"""for his researches on plant pigments, especially chlorophyll"""
1915,Literature,Individual,Romain Rolland,1866,Clamecy,France,Male,The Nobel Prize in Literature 1915,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings"""
1915,Physics,Individual,Sir William Henry Bragg,1862,Wigton,United Kingdom,Male,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays"""
1915,Physics,Individual,William Lawrence Bragg,1890,Adelaide,Australia,Male,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays"""
1916,Literature,Individual,Carl Gustaf Verner von Heidenstam,1859,Olshammar,Sweden,Male,The Nobel Prize in Literature 1916,"""in recognition of his significance as the leading representative of a new era in our literature"""
1917,Literature,Individual,Karl Adolph Gjellerup,1857,Roholte,Denmark,Male,The Nobel Prize in Literature 1917,"""for his varied and rich poetry, which is inspired by lofty ideals"""
1917,Literature,Individual,Henrik Pontoppidan,1857,Fredericia,Denmark,Male,The Nobel Prize in Literature 1917,"""for his authentic descriptions of present-day life in Denmark"""
1917,Peace,Organization,ComitÃ© international de la Croix Rouge (International Committee of the Red Cross),NA,NA,NA,NA,The Nobel Peace Prize 1917,NA
1917,Physics,Individual,Charles Glover Barkla,1877,Widnes,United Kingdom,Male,The Nobel Prize in Physics 1917,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements"""
1918,Chemistry,Individual,Fritz Haber,1868,Breslau (Wroclaw),Prussia (Poland),Male,The Nobel Prize in Chemistry 1918,"""for the synthesis of ammonia from its elements"""
1918,Physics,Individual,Max Karl Ernst Ludwig Planck,1858,Kiel,Schleswig (Germany),Male,The Nobel Prize in Physics 1918,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta"""
1919,Literature,Individual,Carl Friedrich Georg Spitteler,1845,Liestal,Switzerland,Male,The Nobel Prize in Literature 1919,"""in special appreciation of his epic, <I>Olympian Spring</I>"""
1919,Medicine,Individual,Jules Bordet,1870,Soignies,Belgium,Male,The Nobel Prize in Physiology or Medicine 1919,"""for his discoveries relating to immunity"""
1919,Peace,Individual,Thomas Woodrow Wilson,1856,"Staunton, VA",United States of America,Male,The Nobel Peace Prize 1919,NA
1919,Physics,Individual,Johannes Stark,1874,Schickenhof,Germany,Male,The Nobel Prize in Physics 1919,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields"""
1920,Chemistry,Individual,Walther Hermann Nernst,1864,Briesen,Prussia (Germany),Male,The Nobel Prize in Chemistry 1920,"""in recognition of his work in thermochemistry"""
1920,Literature,Individual,Knut Pedersen Hamsun,1859,Lom,Norway,Male,The Nobel Prize in Literature 1920,"""for his monumental work, <I>Growth of the Soil</I>"""
1920,Medicine,Individual,Schack August Steenberg Krogh,1874,GrenÃ¥,Denmark,Male,The Nobel Prize in Physiology or Medicine 1920,"""for his discovery of the capillary motor regulating mechanism"""
1920,Peace,Individual,LÃ©on Victor Auguste Bourgeois,1851,Paris,France,Male,The Nobel Peace Prize 1920,NA
1920,Physics,Individual,Charles Edouard Guillaume,1861,Fleurier,Switzerland,Male,The Nobel Prize in Physics 1920,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys"""
1921,Chemistry,Individual,Frederick Soddy,1877,Eastbourne,United Kingdom,Male,The Nobel Prize in Chemistry 1921,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes"""
1921,Literature,Individual,Anatole France,1844,Paris,France,Male,The Nobel Prize in Literature 1921,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament"""
1921,Peace,Individual,Karl Hjalmar Branting,1860,Stockholm,Sweden,Male,The Nobel Peace Prize 1921,NA
1921,Peace,Individual,Christian Lous Lange,1869,Stavanger,Norway,Male,The Nobel Peace Prize 1921,NA
1921,Physics,Individual,Albert Einstein,1879,Ulm,Germany,Male,The Nobel Prize in Physics 1921,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"""
1922,Chemistry,Individual,Francis William Aston,1877,Harborne,United Kingdom,Male,The Nobel Prize in Chemistry 1922,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule"""
1922,Literature,Individual,Jacinto Benavente,1866,Madrid,Spain,Male,The Nobel Prize in Literature 1922,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama"""
1922,Medicine,Individual,Archibald Vivian Hill,1886,Bristol,United Kingdom,Male,The Nobel Prize in Physiology or Medicine 1922,"""for his discovery relating to the production of heat in the muscle"""
1922,Medicine,Individual,Otto Fritz Meyerhof,1884,Hanover,Germany,Male,The Nobel Prize in Physiology or Medicine 1922,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle"""
1922,Peace,Individual,Fridtjof Nansen,1861,Kristiania (Oslo),Norway,Male,The Nobel Peace Prize 1922,NA
1922,Physics,Individual,Niels Henrik David Bohr,1885,Copenhagen,Denmark,Male,The Nobel Prize in Physics 1922,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them"""
1923,Chemistry,Individual,Fritz Pregl,1869,Laibach (Ljubljana),Austria-Hungary (Slovenia),Male,The Nobel Prize in Chemistry 1923,"""for his invention of the method of micro-analysis of organic substances"""
1923,Literature,Individual,William Butler Yeats,1865,Dublin,Ireland,Male,The Nobel Prize in Literature 1923,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation"""
1923,Medicine,Individual,Frederick Grant Banting,1891,Alliston,Canada,Male,The Nobel Prize in Physiology or Medicine 1923,"""for the discovery of insulin"""
1923,Medicine,Individual,John James Rickard Macleod,1876,Cluny,Scotland,Male,The Nobel Prize in Physiology or Medicine 1923,"""for the discovery of insulin"""
1923,Physics,Individual,Robert Andrews Millikan,1868,"Morrison, IL",United States of America,Male,The Nobel Prize in Physics 1923,"""for his work on the elementary charge of electricity and on the photoelectric effect"""
1924,Literature,Individual,Wladyslaw Stanislaw Reymont,1867,Kobiele Wielkie,Russian Empire (Poland),Male,The Nobel Prize in Literature 1924,"""for his great national epic, <I>The Peasants</I>"""
1924,Medicine,Individual,Willem Einthoven,1860,Semarang,"Java, Dutch East Indies (Indonesia)",Male,The Nobel Prize in Physiology or Medicine 1924,"""for his discovery of the mechanism of the electrocardiogram"""
1924,Physics,Individual,Karl Manne Georg Siegbahn,1886,Lund,Sweden,Male,The Nobel Prize in Physics 1924,"""for his discoveries and research in the field of X-ray spectroscopy"""
1925,Chemistry,Individual,Richard Adolf Zsigmondy,1865,Vienna,Austrian Empire (Austria),Male,The Nobel Prize in Chemistry 1925,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry"""
1925,Literature,Individual,George Bernard Shaw,1856,Dublin,Ireland,Male,The Nobel Prize in Literature 1925,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty"""
1925,Peace,Individual,Sir Austen Chamberlain,1863,Birmingham,United Kingdom,Male,The Nobel Peace Prize 1925,NA
1925,Peace,Individual,Charles Gates Dawes,1865,"Marietta, OH",United States of America,Male,The Nobel Peace Prize 1925,NA
1925,Physics,Individual,James Franck,1882,Hamburg,Germany,Male,The Nobel Prize in Physics 1925,"""for their discovery of the laws governing the impact of an electron upon an atom"""
1925,Physics,Individual,Gustav Ludwig Hertz,1887,Hamburg,Germany,Male,The Nobel Prize in Physics 1925,"""for their discovery of the laws governing the impact of an electron upon an atom"""
1926,Chemistry,Individual,The (Theodor) Svedberg,1884,FlerÃ¤ng,Sweden,Male,The Nobel Prize in Chemistry 1926,"""for his work on disperse systems"""
1926,Literature,Individual,Grazia Deledda,1871,"Nuoro, Sardinia",Italy,Female,The Nobel Prize in Literature 1926,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general"""
1926,Medicine,Individual,Johannes Andreas Grib Fibiger,1867,Silkeborg,Denmark,Male,The Nobel Prize in Physiology or Medicine 1926,"""for his discovery of the Spiroptera carcinoma"""
1926,Peace,Individual,Aristide Briand,1862,Nantes,France,Male,The Nobel Peace Prize 1926,NA
1926,Peace,Individual,Gustav Stresemann,1878,Berlin,Germany,Male,The Nobel Peace Prize 1926,NA
1926,Physics,Individual,Jean Baptiste Perrin,1870,Lille,France,Male,The Nobel Prize in Physics 1926,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"""
1927,Chemistry,Individual,Heinrich Otto Wieland,1877,Pforzheim,Germany,Male,The Nobel Prize in Chemistry 1927,"""for his investigations of the constitution of the bile acids and related substances"""
1927,Literature,Individual,Henri Bergson,1859,Paris,France,Male,The Nobel Prize in Literature 1927,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented"""
1927,Medicine,Individual,Julius Wagner-Jauregg,1857,Wels,Austria,Male,The Nobel Prize in Physiology or Medicine 1927,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica"""
1927,Peace,Individual,Ferdinand Buisson,1841,Paris,France,Male,The Nobel Peace Prize 1927,NA
1927,Peace,Individual,Ludwig Quidde,1858,Bremen,Germany,Male,The Nobel Peace Prize 1927,NA
1927,Physics,Individual,Arthur Holly Compton,1892,"Wooster, OH",United States of America,Male,The Nobel Prize in Physics 1927,"""for his discovery of the effect named after him"""
1927,Physics,Individual,Charles Thomson Rees Wilson,1869,Glencorse,Scotland,Male,The Nobel Prize in Physics 1927,"""for his method of making the paths of electrically charged particles visible by condensation of vapour"""
1928,Chemistry,Individual,Adolf Otto Reinhold Windaus,1876,Berlin,Germany,Male,The Nobel Prize in Chemistry 1928,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins"""
1928,Literature,Individual,Sigrid Undset,1882,Kalundborg,Denmark,Female,The Nobel Prize in Literature 1928,"""principally for her powerful descriptions of Northern life during the Middle Ages"""
1928,Medicine,Individual,Charles Jules Henri Nicolle,1866,Rouen,France,Male,The Nobel Prize in Physiology or Medicine 1928,"""for his work on typhus"""
1928,Physics,Individual,Owen Willans Richardson,1879,Dewsbury,United Kingdom,Male,The Nobel Prize in Physics 1928,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him"""
1929,Chemistry,Individual,Arthur Harden,1865,Manchester,United Kingdom,Male,The Nobel Prize in Chemistry 1929,"""for their investigations on the fermentation of sugar and fermentative enzymes"""
1929,Chemistry,Individual,Hans Karl August Simon von Euler-Chelpin,1873,Augsburg,Germany,Male,The Nobel Prize in Chemistry 1929,"""for their investigations on the fermentation of sugar and fermentative enzymes"""
1929,Literature,Individual,Thomas Mann,1875,LÃ¼beck,Germany,Male,The Nobel Prize in Literature 1929,"""principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature"""
1929,Medicine,Individual,Christiaan Eijkman,1858,Nijkerk,Netherlands,Male,The Nobel Prize in Physiology or Medicine 1929,"""for his discovery of the antineuritic vitamin"""
1929,Medicine,Individual,Sir Frederick Gowland Hopkins,1861,Eastbourne,United Kingdom,Male,The Nobel Prize in Physiology or Medicine 1929,"""for his discovery of the growth-stimulating vitamins"""
1929,Peace,Individual,Frank Billings Kellogg,1856,"Potsdam, NY",United States of America,Male,The Nobel Peace Prize 1929,NA
1929,Physics,Individual,Prince Louis-Victor Pierre Raymond de Broglie,1892,Dieppe,France,Male,The Nobel Prize in Physics 1929,"""for his discovery of the wave nature of electrons"""
1930,Chemistry,Individual,Hans Fischer,1881,Hoechst,Germany,Male,The Nobel Prize in Chemistry 1930,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin"""
1930,Literature,Individual,Sinclair Lewis,1885,"Sauk Centre, MN",United States of America,Male,The Nobel Prize in Literature 1930,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters"""
